No.,District,PODs,Site_Name,N,S,W,E,Rainfall,latitude,longitude,lat_scaled,lon_scaled,Rainfall_Scaled,Cluster
22,Bida,Mokwa,Kpaki,9.395,9.215,5.176,5.356,33562.0,9.305,5.176,0.23800596880163616,-1.221503144601992,-0.7906692873439902,2
23,Bida,Lavun,Kuchi Busu,9.067,8.887,5.9,6.08,34761.0,8.977,5.9,-0.8883844266396772,-0.1743552571115167,-0.32730579924706216,0
24,Bida,Mokwa,Kudu,9.357,9.177,5.257,5.437,33668.0,9.267,5.257,0.10750952054928775,-1.1043498588468428,-0.7497047087465971,2
25,Bida,Lavun,Kusotachi,9.078,8.898,5.918,6.098,34807.0,8.988,5.918,-0.8506091389876845,-0.1483211936103726,-0.30952871796894815,0
26,Bida,Mokwa,Labozhi,9.261,9.081,5.301,5.481,33835.0,9.171,5.301,-0.22216571714085365,-1.0407110369551558,-0.6851661745412702,2
27,Bida,Enagi,Lagun,9.551,9.371,5.348,5.528,34580.0,9.461,5.348,0.7737282300481174,-0.9727332044799458,-0.3972547494935542,2
28,Bida,Mokwa,Muwo,9.393,9.213,4.707,4.887,34898.0,9.303,4.707,0.23113773468309534,-1.8998351324929215,-0.2743610137013748,2
29,Bida,Mokwa,Rabba,9.386,9.206,4.98,5.16,32917.0,9.296,4.98,0.20709891526818425,-1.5049851693922305,-1.039934883526241,2
30,Bida,Enagi,Rokota,9.173,8.993,5.352,5.532,33702.0,9.083,5.352,-0.5243680183568136,-0.9669478570352464,-0.7365651269323389,2
31,Bida,Edati,Sakpe,9.212,9.032,5.516,5.696,34125.0,9.122,5.516,-0.3904374530451947,-0.7297486118025979,-0.573093270831421,2
32,Lapai,Katcha,Badegi,9.177,8.997,6.126,6.306,33344.0,9.087,6.126,-0.5106315501197258,0.152516873513963,-0.8749171942707045,0
33,Lapai,Katcha,Bakeko,9.044,8.864,6.121,6.301,32677.0,8.954,6.121,-0.9673691190029391,0.14528518920808972,-1.1326848728033576,0
34,Lapai,Dangana,Birnin Maza,9.116,8.936,6.579,6.759,36090.0,9.026,6.579,-0.7201126907353361,0.8077074716260964,0.1862972663749707,5
35,Lapai,Agaie,Boku,9.13,8.95,6.394,6.574,34520.0,9.04,6.394,-0.6720350519055261,0.5401351523087794,-0.4204422468128334,0
36,Lapai,Tafa,Dikko,9.355,9.175,7.113,7.293,41536.0,9.265,7.113,0.10064128643074696,1.5800513554933813,2.290949106388207,1
37,Lapai,Dangana,Duma,8.978,8.798,6.57,6.75,35135.0,8.888,6.57,-1.1940208449149137,0.7946904398755249,-0.1827703992902222,5
38,Lapai,Katcha,Dwafu,9.11,8.93,6.102,6.282,33340.0,9.02,6.102,-0.7407173930909707,0.11780478884577043,-0.876463027425323,0
39,Lapai,Katcha,Edotsu,8.904,8.724,6.199,6.379,33092.0,8.814,6.199,-1.4481455073010634,0.2580994643797146,-0.9723046830116768,5
40,Lapai,Katcha,Essa,9.144,8.964,6.133,6.313,33199.0,9.054,6.133,-0.6239574130757101,0.16264123154218535,-0.930953646125629,0
41,Lapai,Agaie,Estugai,9.248,9.068,6.212,6.392,33102.0,9.158,6.212,-0.26680923891139324,0.27690184357498543,-0.9684401001251303,0
42,Lapai,Agaie,Etsugai,9.248,9.068,6.212,6.392,33102.0,9.158,6.212,-0.26680923891139324,0.27690184357498543,-0.9684401001251303,0
43,Lapai,Dangana,Evuti Vatsu,8.644,8.464,6.535,6.715,34961.0,8.554,6.535,-2.3410159427118615,0.7440686497344106,-0.2500141415161317,5
44,Lapai,Gurara,Gawu,9.368,9.188,6.9,7.08,40021.0,9.278,6.9,0.14528480820128656,1.2719816040631724,1.705464799076409,1
